Task name,Date,Tags,Status,Repo/PR,Notes
AbstractSDK Call w/ Adair,"May 9, 2023",Meeting,Done,,
[call] Posthuman validator (tech),"May 8, 2023",Meeting,Done,,
[actions] Learning GH actions better (w/ course),"May 6, 2023",CI,Done,,
[v15] FeeShare: Allow gov admin contracts ability to self register,"May 5, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/665,
[v15] Wrote ictest for Tokenfactory wasm bindings + transactions,"May 5, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/pull/,
more proper migration & init for Core-1 vesting contracts,"May 5, 2023",,Blocked,https://github.com/CosmosContracts/juno/compare/50fcd5e...a35d0a08fe,
"[v15] Bringing Tokenfactory in to main repo ","May 4, 2023","Juno, TokenFactory",Done,https://github.com/CosmosContracts/juno/pull/663,"Pulls in tokenfactory into our main codebase
TODO:
- Make test-contracts repo in CosmosContracts
- Build a simple TF mint & get balance contract
- Allow TF types query (how to do without relative imports??)
- Reuse contract as FeeShare test"
migrating core-1 to vesting contracts under the subDao,"May 3, 2023",Juno,Blocked,https://github.com/CosmosContracts/juno/pull/660,
[airdrop] Mass CosmWasm NFT airdrop scripts,"May 3, 2023","Ecosystem, NFTs",In progress,https://github.com/Reecepbcups/airdrop-tools/pull/10,
[airdrop] Stargaze scripts for Tabu NFT airdrop,"May 2, 2023",Scripts,Done,https://github.com/Reecepbcups/tabu-airdrop,Will move to main airdrop-tools repo in the future. Sends randomly owned NFTs out within ID range to list of wallets. Can send multiple random per - 1 message
[indexer] All Juno Fees over time calculation,"May 2, 2023",Indexer,Done,https://github.com/Reecepbcups/cosmos-indexer/blob/main/scripts/get_total_fees_over_time.py,
[call] Croncats meeting,"May 1, 2023",Meeting,Done,,
Migrating tokenfactory-contracts to ictest,"April 30, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/tokenfactory-contracts/pull/7,
